LWL,B,D,T,L/B,B/T,Disp,CB,Vs,Fn,GT,P
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10,0.18,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,11,0.2,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,12,0.22,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,13,0.24,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,14,0.26,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,15,0.28,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,16,0.29,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,17,0.31,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,18,0.33,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,19,0.35,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,20,0.37,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,21,0.39,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,22,0.4,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,23,0.42,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,24,0.44,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,25,0.46,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,26,0.48,10315.717569518816,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,27,0.5,10315.717569518816,
