LWL,B,D,T,L/B,B/T,Disp,CB,Vs,Fn,GT,P
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10,0.18,10315.717569518816,4152.484276893084
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,11,0.2,10315.717569518816,3497.2042650032704
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,12,0.22,10315.717569518816,3123.2342143730434
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,13,0.24,10315.717569518816,3288.0662590984643
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,14,0.26,10315.717569518816,3747.486783522738
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,15,0.28,10315.717569518816,4421.1452783900395
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,16,0.29,10315.717569518816,5190.534303280845
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,17,0.31,10315.717569518816,6581.529672589862
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,18,0.33,10315.717569518816,8123.948321477677
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,19,0.35,10315.717569518816,9894.148208449764
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,20,0.37,10315.717569518816,11858.438577497573
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,21,0.39,10315.717569518816,14270.169987631434
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,22,0.4,10315.717569518816,16298.184247696987
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,23,0.42,10315.717569518816,19617.702939627034
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,24,0.44,10315.717569518816,22969.26422556228
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,25,0.46,10315.717569518816,26435.214263106973
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,26,0.48,10315.717569518816,30014.801120454336
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,27,0.5,10315.717569518816,33642.400996852455
