LWL,B,D,T,L/B,B/T,Disp,CB,GT,Vs,Fn,P
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,10,0.18,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,11,0.2,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,12,0.22,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,13,0.24,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,14,0.26,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,15,0.28,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,16,0.29,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,17,0.31,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,18,0.33,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,19,0.35,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,20,0.37,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,21,0.39,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,22,0.4,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,23,0.42,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,24,0.44,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,25,0.46,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,26,0.48,
80,12.4,10.8,4.4,6.45,2.82,1712,0.39,10315.71757,27,0.5,
